City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-03-06 18:54:41,-34.4187,19.2345,69.8,94,23,2.35
1,Vaini,TO,2022-03-06 18:54:41,-21.2,-175.2,75.36,94,75,4.61
2,Pisco,PE,2022-03-06 18:54:39,-13.7,-76.2167,75.02,83,20,9.22
3,Ilulissat,GL,2022-03-06 18:54:42,69.2167,-51.1,14.29,93,100,8.3
4,Qaanaaq,GL,2022-03-06 18:54:42,77.484,-69.3632,-0.78,67,0,6.98
5,Hilo,US,2022-03-06 18:52:28,19.7297,-155.09,75.25,77,100,6.91
6,Gamba,GA,2022-03-06 18:54:43,-2.65,10.0,80.94,82,100,6.87
7,Portland,US,2022-03-06 18:50:08,45.5234,-122.6762,48.2,83,100,3.44
8,Iqaluit,CA,2022-03-06 18:54:43,63.7506,-68.5145,1.13,78,75,6.91
9,Butaritari,KI,2022-03-06 18:54:43,3.0707,172.7902,81.52,76,33,18.3
10,Rikitea,PF,2022-03-06 18:54:44,-23.1203,-134.9692,79.12,77,100,18.61
11,Punta Arenas,CL,2022-03-06 18:50:33,-53.15,-70.9167,50.11,53,75,9.22
12,Hobart,AU,2022-03-06 18:54:45,-42.8794,147.3294,50.05,76,75,4.61
13,Puerto Ayora,EC,2022-03-06 18:54:45,-0.7393,-90.3518,85.96,76,75,4.59
14,Bethel,US,2022-03-06 18:54:45,41.3712,-73.414,63.03,90,100,4.0
15,Ushuaia,AR,2022-03-06 18:54:46,-54.8,-68.3,42.46,75,100,0.0
16,East London,ZA,2022-03-06 18:54:46,-33.0153,27.9116,72.54,94,0,4.61
17,Faanui,PF,2022-03-06 18:54:47,-16.4833,-151.75,81.63,73,82,13.06
18,Kenai,US,2022-03-06 18:54:47,60.5544,-151.2583,25.09,93,0,0.0
19,Alyangula,AU,2022-03-06 18:54:47,-13.8483,136.4192,78.67,100,100,3.44
20,Thinadhoo,MV,2022-03-06 18:54:48,0.5333,72.9333,82.51,70,49,9.42
21,Jamestown,US,2022-03-06 18:54:48,42.097,-79.2353,69.3,55,100,26.46
22,Macon,US,2022-03-06 18:54:49,39.8667,-88.9668,49.32,47,18,12.48
23,Suntar,RU,2022-03-06 18:54:49,62.1444,117.6319,-16.01,100,65,3.18
24,Kurilsk,RU,2022-03-06 18:54:49,45.2333,147.8833,27.25,94,100,26.73
25,Mataura,NZ,2022-03-06 18:54:50,-46.1927,168.8643,48.47,98,100,3.47
26,Katherine,AU,2022-03-06 18:54:50,-14.4667,132.2667,77.32,88,100,1.14
27,Wajima,JP,2022-03-06 18:54:50,37.4,136.9,38.52,65,100,16.84
28,Barrow,US,2022-03-06 18:54:51,71.2906,-156.7887,-7.64,97,89,6.15
29,Kungurtug,RU,2022-03-06 18:54:51,50.5994,97.5228,17.01,90,100,1.54
30,Narrabri,AU,2022-03-06 18:54:52,-30.3167,149.7833,62.69,88,75,10.36
31,Adrar,MR,2022-03-06 18:54:52,20.5022,-10.0711,72.21,12,0,11.14
32,Busselton,AU,2022-03-06 18:54:52,-33.65,115.3333,66.04,82,3,13.98
33,Kununurra,AU,2022-03-06 18:54:53,-15.7667,128.7333,76.98,94,100,0.0
34,Hobyo,SO,2022-03-06 18:54:53,5.3505,48.5268,78.71,69,69,16.78
35,Mackay,AU,2022-03-06 18:54:53,-21.15,149.2,82.38,83,7,13.8
36,Dudinka,RU,2022-03-06 18:54:54,69.4058,86.1778,-38.2,100,43,3.09
37,Great Falls,US,2022-03-06 18:53:02,47.5002,-111.3008,25.66,75,100,11.5
38,Ribeira Grande,PT,2022-03-06 18:54:54,38.5167,-28.7,63.0,88,75,20.71
39,Huarmey,PE,2022-03-06 18:54:55,-10.0681,-78.1522,75.83,74,67,8.41
40,Shimoda,JP,2022-03-06 18:54:55,34.6667,138.95,37.11,52,41,6.22
41,Cape Town,ZA,2022-03-06 18:50:06,-33.9258,18.4232,72.1,81,75,17.27
42,Port Elizabeth,ZA,2022-03-06 18:54:56,-33.918,25.5701,78.1,83,0,2.3
43,Saint Anthony,US,2022-03-06 18:54:56,45.0205,-93.218,32.25,84,100,9.22
44,Usinsk,RU,2022-03-06 18:54:57,65.9939,57.5281,-24.74,96,19,9.4
45,Wenling,CN,2022-03-06 18:54:57,28.3669,121.36,45.91,92,100,8.41
46,Bonney Lake,US,2022-03-06 18:54:57,47.1771,-122.1865,47.37,79,0,1.99
47,Luanda,AO,2022-03-06 18:54:58,-8.8368,13.2343,82.4,78,75,10.36
48,Atuona,PF,2022-03-06 18:54:58,-9.8,-139.0333,78.17,74,98,10.47
49,Tasiilaq,GL,2022-03-06 18:55:59,65.6145,-37.6368,22.8,92,100,11.52
50,Lompoc,US,2022-03-06 18:55:59,34.6391,-120.4579,64.13,52,0,18.01
51,Riyadh,SA,2022-03-06 18:56:00,24.6877,46.7219,75.34,26,81,14.85
52,Kaitangata,NZ,2022-03-06 18:56:00,-46.2817,169.8464,49.05,85,100,4.72
53,Laguna,US,2022-03-06 18:56:00,38.421,-121.4238,60.06,61,0,3.44
54,Chuy,UY,2022-03-06 18:56:01,-33.6971,-53.4616,76.08,74,100,7.16
55,Salalah,OM,2022-03-06 18:55:45,17.0151,54.0924,72.7,58,9,1.01
56,Vardo,NO,2022-03-06 18:56:02,70.3705,31.1107,24.78,68,75,11.5
57,Kapaa,US,2022-03-06 18:56:02,22.0752,-159.319,73.38,59,24,1.01
58,New Norfolk,AU,2022-03-06 18:56:03,-42.7826,147.0587,49.71,62,71,2.44
59,Tuktoyaktuk,CA,2022-03-06 18:56:03,69.4541,-133.0374,1.4,85,40,12.66
60,Victoria,HK,2022-03-06 18:53:55,22.2855,114.1577,70.95,86,100,15.01
61,Carnarvon,AU,2022-03-06 18:56:04,-24.8667,113.6333,77.07,69,0,9.22
62,Kavieng,PG,2022-03-06 18:56:04,-2.5744,150.7967,78.71,86,100,7.61
63,Albany,US,2022-03-06 18:53:04,42.6001,-73.9662,63.18,62,70,3.0
64,Brae,GB,2022-03-06 18:56:05,60.3964,-1.353,42.71,72,100,18.54
65,Kuah,MY,2022-03-06 18:56:05,6.3265,99.8432,78.78,94,20,3.44
66,Antofagasta,CL,2022-03-06 18:54:14,-23.65,-70.4,75.22,63,20,9.71
67,Orangeburg,US,2022-03-06 18:56:06,33.4918,-80.8557,83.03,47,0,11.01
68,Tautira,PF,2022-03-06 18:56:06,-17.7333,-149.15,82.42,77,29,15.48
69,Kloulklubed,PW,2022-03-06 18:56:07,7.0419,134.2556,77.5,75,100,13.56
70,Tiksi,RU,2022-03-06 18:56:07,71.6872,128.8694,-23.19,96,45,1.72
71,Kerema,PG,2022-03-06 18:56:07,-7.9631,145.7785,77.05,87,100,2.84
72,Acapulco,MX,2022-03-06 18:53:22,16.8634,-99.8901,85.57,51,0,9.78
73,Hofn,IS,2022-03-06 18:56:08,64.2539,-15.2082,35.02,47,99,6.26
74,Souillac,MU,2022-03-06 18:56:09,-20.5167,57.5167,81.36,83,40,12.66
75,Constitucion,CL,2022-03-06 18:56:09,-35.3333,-72.4167,65.21,64,6,11.18
76,Cherskiy,RU,2022-03-06 18:56:09,68.75,161.3,-34.51,100,34,1.68
77,Fortuna,US,2022-03-06 18:56:10,40.5982,-124.1573,52.93,74,40,8.05
78,Jeremoabo,BR,2022-03-06 18:56:11,-10.075,-38.4808,88.05,38,100,13.73
79,Khatanga,RU,2022-03-06 18:56:11,71.9667,102.5,-14.91,98,100,3.49
80,Mount Gambier,AU,2022-03-06 18:56:11,-37.8333,140.7667,55.31,94,75,8.05
81,Sault Sainte Marie,CA,2022-03-06 18:56:12,46.5168,-84.3333,34.36,86,100,24.16
82,Key Largo,US,2022-03-06 18:56:12,25.0865,-80.4473,81.0,77,3,20.36
83,Kodiak,US,2022-03-06 18:56:13,57.79,-152.4072,34.92,64,94,9.75
84,Grand Gaube,MU,2022-03-06 18:56:13,-20.0064,57.6608,81.37,82,100,8.01
85,Bluff,NZ,2022-03-06 18:56:14,-46.6,168.3333,48.79,71,100,13.65
86,Sembe,CG,2022-03-06 18:56:14,1.6481,14.5806,76.5,74,27,2.59
87,Ericeira,PT,2022-03-06 18:54:20,38.9627,-9.4156,55.78,69,0,16.82
88,Thompson,CA,2022-03-06 18:56:15,55.7435,-97.8558,19.56,73,100,6.91
89,Tezu,IN,2022-03-06 18:56:15,27.9167,96.1667,65.75,34,0,4.5
90,Avarua,CK,2022-03-06 18:52:18,-21.2078,-159.775,80.65,83,75,8.05
91,Taga,RO,2022-03-06 18:56:16,46.95,24.05,34.3,54,94,2.77
92,Port Alfred,ZA,2022-03-06 18:54:12,-33.5906,26.891,76.82,78,100,14.65
93,Torbay,CA,2022-03-06 18:57:17,47.6666,-52.7314,29.88,50,40,17.27
94,Aljezur,PT,2022-03-06 18:57:17,37.3191,-8.8033,52.66,66,1,11.52
95,Ponta Do Sol,PT,2022-03-06 18:57:18,32.6667,-17.1,64.06,61,12,2.73
96,Cazones,MX,2022-03-06 18:57:18,20.7167,-97.3167,84.87,57,14,6.62
97,Provideniya,RU,2022-03-06 18:57:18,64.3833,-173.3,7.47,93,100,17.22
98,Kaduy,RU,2022-03-06 18:56:02,59.2,37.15,23.04,95,100,8.61
99,Port Lincoln,AU,2022-03-06 18:57:19,-34.7333,135.8667,60.44,77,100,12.21
100,Zhigansk,RU,2022-03-06 18:57:19,66.7697,123.3711,-0.76,91,100,5.59
101,Marawi,PH,2022-03-06 18:57:20,7.9986,124.2928,66.65,99,100,3.65
102,Sistranda,NO,2022-03-06 18:57:20,63.7256,8.834,42.91,83,100,32.3
103,Ejido,VE,2022-03-06 18:57:21,8.5514,-71.2375,69.87,89,100,1.45
104,Quezon,PH,2022-03-06 18:57:21,7.7303,125.0989,74.16,95,100,1.81
105,Nicolas Bravo,MX,2022-03-06 18:57:21,18.45,-88.9167,85.08,52,100,5.48
106,Hithadhoo,MV,2022-03-06 18:57:22,-0.6,73.0833,82.83,69,16,9.95
107,Upernavik,GL,2022-03-06 18:57:22,72.7868,-56.1549,8.08,94,100,6.35
108,Dicabisagan,PH,2022-03-06 18:57:23,17.0818,122.4157,71.83,87,81,2.82
109,San Patricio,US,2022-03-06 18:57:23,28.017,-97.5169,82.49,64,100,21.59
110,Manoel Urbano,BR,2022-03-06 18:57:24,-8.8389,-69.2597,80.44,93,100,4.09
111,Georgetown,MY,2022-03-06 18:55:02,5.4112,100.3354,78.73,98,20,4.61
112,Mayo,US,2022-03-06 18:57:24,38.8876,-76.5119,76.57,64,40,12.66
113,Tres Arroyos,AR,2022-03-06 18:57:25,-38.3739,-60.2798,84.52,19,100,4.32
114,Belaya Gora,RU,2022-03-06 18:57:25,68.5333,146.4167,-31.99,100,62,1.74
115,Haines Junction,CA,2022-03-06 18:57:26,60.7522,-137.5108,30.15,59,100,21.85
116,Bambous Virieux,MU,2022-03-06 18:57:26,-20.3428,57.7575,81.21,83,40,12.66
117,Parker,US,2022-03-06 18:57:26,32.7668,-97.8003,75.47,73,100,4.0
118,Westport,US,2022-03-06 18:57:27,41.1415,-73.3579,64.29,90,100,10.0
119,Cabo San Lucas,MX,2022-03-06 18:56:39,22.8909,-109.9124,78.62,64,0,1.01
120,Chokurdakh,RU,2022-03-06 18:57:27,70.6333,147.9167,-28.07,100,74,2.84
121,Arraial Do Cabo,BR,2022-03-06 18:57:28,-22.9661,-42.0278,89.56,61,0,19.57
122,Pyskowice,PL,2022-03-06 18:57:28,50.4,18.6333,32.27,75,38,3.0
123,Xiongzhou,CN,2022-03-06 18:57:29,25.1167,114.3,61.86,89,34,2.13
124,Coos Bay,US,2022-03-06 18:57:29,43.3665,-124.2179,48.99,90,5,5.08
125,Kumphawapi,TH,2022-03-06 18:57:30,17.1087,103.0149,85.89,99,76,1.81
126,Kaeo,NZ,2022-03-06 18:57:30,-35.1,173.7833,63.32,94,100,7.81
127,Romny,UA,2022-03-06 18:57:30,50.751,33.4747,27.99,74,13,7.07
128,Bac Lieu,VN,2022-03-06 18:57:31,9.285,105.7244,79.54,83,100,9.93
129,Saint Leonard,CA,2022-03-06 18:53:47,47.173,-67.9247,31.6,96,100,9.69
130,Alofi,NU,2022-03-06 18:57:26,-19.0595,-169.9187,76.89,94,100,1.14
131,Namatanai,PG,2022-03-06 18:57:32,-3.6667,152.4333,78.89,80,100,2.66
132,San Carlos De Bariloche,AR,2022-03-06 18:57:32,-41.1456,-71.3082,49.75,87,75,21.85
133,Rancho Palos Verdes,US,2022-03-06 18:57:33,33.7445,-118.387,62.37,51,20,5.99
134,Sibolga,ID,2022-03-06 18:57:33,1.7427,98.7792,76.05,88,95,2.21
135,Huangpi,CN,2022-03-06 18:57:33,30.8845,114.3779,48.31,76,0,2.24
136,Durban,ZA,2022-03-06 18:52:57,-29.8579,31.0292,78.03,89,31,1.99
137,Kuito,AO,2022-03-06 18:57:34,-12.3833,16.9333,60.53,98,100,5.17
138,Saskylakh,RU,2022-03-06 18:58:34,71.9167,114.0833,-12.41,100,99,1.9
139,Airai,TL,2022-03-06 18:58:35,-8.9266,125.4092,59.67,88,100,1.86
140,Vanavara,RU,2022-03-06 18:58:35,60.34,102.2797,-1.61,98,100,3.69
141,Bengkulu,ID,2022-03-06 18:57:31,-3.8004,102.2655,76.32,85,100,4.63
142,Xianyang,CN,2022-03-06 18:58:36,34.3378,108.7026,49.24,57,0,8.95
143,Havelock,US,2022-03-06 18:58:36,34.8791,-76.9013,80.06,76,91,11.99
144,Norman Wells,CA,2022-03-06 18:58:37,65.282,-126.8329,12.24,79,100,6.91
145,Rudbar,AF,2022-03-06 18:58:37,30.15,62.6,71.73,23,7,6.62
146,Puerto Baquerizo Moreno,EC,2022-03-06 18:58:37,-0.9,-89.6,83.39,79,20,4.61
147,Sept-Iles,CA,2022-03-06 18:58:38,50.2001,-66.3821,22.05,77,100,12.66
148,Ossora,RU,2022-03-06 18:58:38,59.2353,163.0719,4.93,88,100,4.61
149,Tuatapere,NZ,2022-03-06 18:58:39,-46.1333,167.6833,48.81,91,100,4.25
150,Tual,ID,2022-03-06 18:58:39,-5.6667,132.75,83.55,75,100,14.92
151,San Cristobal,VE,2022-03-06 18:58:40,7.7669,-72.225,66.38,57,100,2.39
152,Goderich,CA,2022-03-06 18:58:40,43.7501,-81.7165,41.2,81,100,17.27
153,Juneau,US,2022-03-06 18:56:12,58.3019,-134.4197,40.21,99,100,6.69
154,Wau,SS,2022-03-06 18:58:41,7.7029,27.9953,88.3,19,96,1.97
155,Mahebourg,MU,2022-03-06 18:58:41,-20.4081,57.7,81.25,83,40,12.66
156,Kapit,MY,2022-03-06 18:58:41,2.0167,112.9333,72.88,100,100,0.29
157,Hami,CN,2022-03-06 18:58:42,42.8,93.45,46.83,15,96,1.52
158,Ornskoldsvik,SE,2022-03-06 18:53:55,63.2909,18.7153,39.02,70,75,16.11
159,Hamilton,US,2022-03-06 18:58:27,39.1834,-84.5333,70.99,77,100,7.0
160,Aksu,CN,2022-03-06 18:58:43,41.1231,80.2644,46.83,31,100,3.71
161,Omsukchan,RU,2022-03-06 18:58:43,62.5333,155.8,-25.22,100,100,3.91
162,Lodwar,KE,2022-03-06 18:58:44,3.1191,35.5973,87.78,33,15,7.11
163,Muhos,FI,2022-03-06 18:58:44,64.808,25.9931,26.38,96,30,5.06
164,Peniche,PT,2022-03-06 18:58:44,39.3558,-9.3811,54.88,71,0,17.56
165,Broome,US,2022-03-06 18:58:45,42.2506,-75.833,68.81,84,77,17.9
166,Desaguadero,PE,2022-03-06 18:58:45,-16.5656,-69.0417,58.41,43,75,10.96
167,Pringsewu,ID,2022-03-06 18:58:46,-5.3582,104.9744,74.61,94,100,3.69
168,Maldonado,UY,2022-03-06 18:58:46,-34.6667,-54.9167,76.39,72,100,9.06
169,Rugby,GB,2022-03-06 18:58:46,52.3709,-1.2642,40.73,75,7,10.38
170,Yellowknife,CA,2022-03-06 18:58:47,62.456,-114.3525,16.41,98,75,16.11
171,Perevolotskiy,RU,2022-03-06 18:58:47,51.8763,54.1938,8.83,92,47,10.29
172,Magangue,CO,2022-03-06 18:58:48,9.242,-74.7547,93.63,44,96,6.29
173,Celestun,MX,2022-03-06 18:58:48,20.8667,-90.4,85.66,52,36,7.76
174,Svetlyy,RU,2022-03-06 18:58:48,54.675,20.1347,33.96,79,100,6.42
175,Belmonte,BR,2022-03-06 18:58:49,-15.8631,-38.8828,86.0,65,42,8.77
176,Cockburn Town,TC,2022-03-06 18:58:49,21.4612,-71.1419,80.56,69,40,17.27
177,Lebu,CL,2022-03-06 18:58:50,-37.6167,-73.65,59.49,89,73,11.72
178,Tarauaca,BR,2022-03-06 18:58:50,-8.1614,-70.7656,80.04,83,100,4.47
179,Kimbe,PG,2022-03-06 18:58:50,-5.5502,150.1429,75.85,92,100,2.73
180,Hasaki,JP,2022-03-06 18:58:51,35.7333,140.8333,39.6,42,0,22.41
181,Narsaq,GL,2022-03-06 18:58:51,60.9167,-46.05,21.24,91,100,4.21
182,Arinos,BR,2022-03-06 18:58:52,-15.9169,-46.1056,84.81,46,38,7.63
183,Severo-Kurilsk,RU,2022-03-06 18:58:52,50.6789,156.125,25.93,82,100,21.09
184,Shubarkuduk,KZ,2022-03-06 18:59:52,49.1447,56.4872,19.69,95,100,14.07
185,Shingu,JP,2022-03-06 18:59:53,33.7333,135.9833,40.91,67,42,6.4
186,Touros,BR,2022-03-06 18:59:53,-5.1989,-35.4608,81.5,66,84,17.02
187,Katsuura,JP,2022-03-06 18:59:54,35.1333,140.3,41.14,47,0,20.65
188,Alice,US,2022-03-06 18:59:54,27.7523,-98.0697,82.13,44,8,19.8
189,Berlevag,NO,2022-03-06 18:59:54,70.8578,29.0864,19.4,77,85,11.39
190,Puerto Escondido,MX,2022-03-06 18:59:55,15.85,-97.0667,87.51,52,5,10.22
191,Tura,IN,2022-03-06 18:59:55,25.5198,90.2201,65.88,35,0,4.81
192,Shirokiy,RU,2022-03-06 18:59:56,49.758,129.523,-9.29,100,97,1.57
193,Hokitika,NZ,2022-03-06 18:59:56,-42.7167,170.9667,58.08,86,14,4.83
194,Pavlivka,UA,2022-03-06 18:59:56,49.4414,28.4596,28.15,75,98,5.17
195,Ewa Beach,US,2022-03-06 18:59:57,21.3156,-158.0072,76.42,67,0,5.01
196,Garowe,SO,2022-03-06 18:59:57,8.4054,48.4845,71.76,61,8,15.95
197,Yamoussoukro,CI,2022-03-06 18:59:58,6.8206,-5.2767,94.89,47,40,2.3
198,Grandola,PT,2022-03-06 18:59:58,38.1772,-8.5668,61.9,49,21,8.88
199,Luderitz,NA,2022-03-06 18:59:59,-26.6481,15.1594,68.16,89,16,15.37
200,Mar Del Plata,AR,2022-03-06 18:59:59,-38.0023,-57.5575,68.02,86,40,14.97
201,Alta Floresta,BR,2022-03-06 18:59:59,-9.8756,-56.0861,80.42,83,40,8.05
202,Peachland,CA,2022-03-06 19:00:00,49.7665,-119.7357,44.67,54,87,1.99
203,Dikson,RU,2022-03-06 19:00:00,73.5069,80.5464,-16.46,99,95,7.07
204,Manyana,BW,2022-03-06 19:00:01,-23.4,21.7167,67.96,71,76,10.67
205,Labuhan,ID,2022-03-06 19:00:05,-6.8844,112.2051,81.09,89,100,7.14
206,Kruisfontein,ZA,2022-03-06 19:00:07,-34.0033,24.7314,75.88,58,100,0.54
207,Sao Joao Da Barra,BR,2022-03-06 19:00:10,-21.6403,-41.0511,80.31,78,5,13.15
208,Tambun,ID,2022-03-06 19:00:12,-6.2641,107.0712,84.49,74,100,4.83
209,Ngaoundere,CM,2022-03-06 19:00:13,7.3167,13.5833,81.01,32,93,1.77
210,Aklavik,CA,2022-03-06 19:00:15,68.2191,-135.0107,23.0,86,100,11.5
211,Staryy Saltiv,UA,2022-03-06 19:00:15,50.0827,36.7939,24.35,91,45,4.76
212,Saint-Philippe,RE,2022-03-06 19:00:17,-21.3585,55.7679,80.19,88,100,16.26
213,Aykhal,RU,2022-03-06 19:00:19,66.0,111.5,-13.0,100,98,6.98
214,Serramanna,IT,2022-03-06 19:00:19,39.4244,8.9244,50.67,81,99,2.77
215,Whitehorse,CA,2022-03-06 18:55:30,60.7161,-135.0538,35.31,65,100,18.01
216,Manzanillo,CU,2022-03-06 19:00:20,20.3433,-77.1167,89.02,43,81,8.7
217,Maniitsoq,GL,2022-03-06 19:00:21,65.4167,-52.9,13.5,92,100,8.46
218,Awjilah,LY,2022-03-06 18:55:43,29.1081,21.2869,63.54,46,29,11.39
219,Nikolskoye,RU,2022-03-06 19:00:21,59.7035,30.7861,28.29,97,73,4.5
220,Port-Gentil,GA,2022-03-06 19:00:22,-0.7193,8.7815,82.54,75,99,9.48
221,Vostok,RU,2022-03-06 19:00:22,46.4856,135.8833,6.85,98,100,3.71
222,Rio Grande,BR,2022-03-06 19:00:23,-32.035,-52.0986,80.98,71,100,9.44
223,Mount Isa,AU,2022-03-06 19:00:24,-20.7333,139.5,76.77,29,5,9.22
224,Dubrovnik,HR,2022-03-06 19:00:25,42.6481,18.0922,46.04,70,75,5.75
225,Guerrero Negro,MX,2022-03-06 19:00:26,27.9769,-114.0611,61.36,46,6,20.85
226,Rorvik,NO,2022-03-06 19:00:27,64.8621,11.2373,37.51,93,75,6.91
227,Lander,US,2022-03-06 19:00:27,42.833,-108.7307,23.16,84,100,11.5
228,Varnavino,RU,2022-03-06 19:01:27,57.4035,45.0916,16.59,95,100,5.53
229,Ust-Tsilma,RU,2022-03-06 19:01:28,65.441,52.1498,-16.85,99,30,4.21
230,Husavik,IS,2022-03-06 19:01:28,66.0449,-17.3389,25.79,77,4,16.67
231,Ismailia,EG,2022-03-06 19:01:29,30.6043,32.2723,62.15,60,0,15.19
232,Claresholm,CA,2022-03-06 19:00:25,50.0333,-113.5852,30.63,58,97,6.71
233,Tateyama,JP,2022-03-06 19:01:29,34.9833,139.8667,41.05,45,1,14.29
234,Praxedis Guerrero,MX,2022-03-06 19:01:30,31.3667,-106.0167,61.43,20,0,25.99
235,Yumen,CN,2022-03-06 19:01:30,40.2833,97.2,37.2,37,27,8.77
236,Narasannapeta,IN,2022-03-06 19:01:31,18.4167,84.05,73.83,74,10,3.31
237,Austin,US,2022-03-06 19:00:54,30.2672,-97.7431,77.67,73,100,10.0
238,Orebro,SE,2022-03-06 19:01:31,59.2741,15.2066,37.58,52,69,8.05
239,Guaruja,BR,2022-03-06 19:01:32,-23.9931,-46.2564,96.17,69,3,6.96
240,Grindavik,IS,2022-03-06 19:01:32,63.8424,-22.4338,36.07,60,20,27.63
241,Japura,ID,2022-03-06 19:01:17,-0.3167,102.35,75.27,95,100,1.07
242,Morant Bay,JM,2022-03-06 19:01:33,17.8815,-76.4093,82.71,63,6,11.43
243,Vao,NC,2022-03-06 19:01:33,-22.6667,167.4833,78.69,76,99,15.17
244,Beira,MZ,2022-03-06 19:01:34,-19.8436,34.8389,82.49,83,40,14.97
245,French Harbor,HN,2022-03-06 19:01:34,16.35,-86.4333,84.07,76,80,5.01
246,Dalbandin,PK,2022-03-06 19:01:02,28.8947,64.4101,67.39,35,3,1.59
247,Sorland,NO,2022-03-06 19:01:35,67.667,12.6934,37.26,71,97,15.1
248,Pangkalanbuun,ID,2022-03-06 19:01:35,-2.6833,111.6167,74.14,97,96,2.62
249,Gusinoye Ozero,RU,2022-03-06 19:01:36,51.1144,106.2614,10.62,98,100,1.61
250,Soyo,AO,2022-03-06 19:01:36,-6.1349,12.3689,81.86,82,88,8.7
251,Pemangkat,ID,2022-03-06 19:01:36,1.1667,108.9667,78.48,85,100,4.5
252,Mitsamiouli,KM,2022-03-06 19:01:37,-11.3847,43.2844,81.45,77,100,8.19
253,Taksimo,RU,2022-03-06 19:01:37,56.3444,114.8794,2.5,93,100,1.16
254,Makubetsu,JP,2022-03-06 19:01:38,45.3714,141.8211,26.58,69,12,17.0
255,Wanning,CN,2022-03-06 19:01:38,18.8003,110.3967,73.11,84,100,5.7
256,Anadyr,RU,2022-03-06 19:01:38,64.75,177.4833,12.43,91,100,9.73
257,Castro,BR,2022-03-06 19:01:39,-24.7911,-50.0119,77.45,71,18,6.71
258,Nouadhibou,MR,2022-03-06 19:01:39,20.931,-17.0347,65.77,68,0,27.67
259,Shakawe,BW,2022-03-06 19:01:39,-18.3667,21.85,69.84,88,84,3.67
260,Pryazha,RU,2022-03-06 19:01:40,61.6926,33.6216,19.29,98,100,3.78
261,Serebryanyy Bor,RU,2022-03-06 19:01:40,56.8,124.8,-23.48,100,99,2.28
262,Isangel,VU,2022-03-06 19:01:41,-19.55,169.2667,77.25,81,5,2.35
263,Bonavista,CA,2022-03-06 19:01:41,48.6499,-53.1147,28.11,51,90,9.86
264,Mahibadhoo,MV,2022-03-06 19:01:41,3.7833,72.9667,81.95,70,100,8.08
265,Ahipara,NZ,2022-03-06 19:01:42,-35.1667,173.1667,62.83,91,100,6.44
266,Manacor,ES,2022-03-06 19:01:42,39.5696,3.2096,52.68,71,100,7.96
267,Lagoa,PT,2022-03-06 19:01:43,39.05,-27.9833,62.29,81,100,27.89
268,Mamaku,NZ,2022-03-06 19:01:43,-38.1,176.0833,57.4,93,17,1.97
269,Dalby,AU,2022-03-06 19:01:43,-27.1833,151.2667,66.69,57,2,3.31
270,Naryan-Mar,RU,2022-03-06 19:01:44,67.6713,53.087,-26.23,100,82,6.13
271,Dalvik,IS,2022-03-06 19:01:44,65.9702,-18.5286,26.56,78,14,14.5
272,Rawson,AR,2022-03-06 19:01:44,-43.3002,-65.1023,76.78,28,27,11.3
273,Bereda,ES,2022-03-06 19:01:45,43.2686,-7.5406,42.55,89,17,3.27
